bug_id,area,architecture,recorder_config,benchmark,variant,seed,workload_scale,memory_words,buffer_depth,target,flow,current_status,error_code,first_failure_stage,root_cause,evidence_file,required_for_zero_fail,fix_status,notes
V2ZF-00022,PAYLOAD_HASH,v2,hashed,watchdog_timeout_bug,fixed,2,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00023,PAYLOAD_HASH,v2,hashed,watchdog_timeout_bug,fixed,3,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00024,ORIGINAL_REPLAY,v2,hashed,watchdog_timeout_bug,no_failure_edge,1,NA,NA,NA,NA,NA,FAIL,UNEXPECTED_FAILURE,replay_status,UNEXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=UNEXPECTED_FAILURE
V2ZF-00025,ORIGINAL_REPLAY,v2,hashed,watchdog_timeout_bug,no_failure_edge,2,NA,NA,NA,NA,NA,FAIL,UNEXPECTED_FAILURE,replay_status,UNEXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=UNEXPECTED_FAILURE
V2ZF-00026,ORIGINAL_REPLAY,v2,hashed,watchdog_timeout_bug,no_failure_edge,3,NA,NA,NA,NA,NA,FAIL,UNEXPECTED_FAILURE,replay_status,UNEXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=UNEXPECTED_FAILURE
V2ZF-00027,PAYLOAD_HASH,v2,full,sensor_threshold_bug,failing,2,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00028,PAYLOAD_HASH,v2,full,sensor_threshold_bug,failing,3,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00029,PAYLOAD_HASH,v2,full,sensor_threshold_bug,fixed,1,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00030,PAYLOAD_HASH,v2,full,sensor_threshold_bug,fixed,2,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00031,PAYLOAD_HASH,v2,full,sensor_threshold_bug,fixed,3,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00032,ORIGINAL_REPLAY,v2,full,sensor_threshold_bug,no_failure_edge,1,NA,NA,NA,NA,NA,FAIL,UNEXPECTED_FAILURE,replay_status,UNEXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=UNEXPECTED_FAILURE
V2ZF-00033,ORIGINAL_REPLAY,v2,full,sensor_threshold_bug,no_failure_edge,2,NA,NA,NA,NA,NA,FAIL,UNEXPECTED_FAILURE,replay_status,UNEXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=UNEXPECTED_FAILURE
V2ZF-00034,ORIGINAL_REPLAY,v2,full,sensor_threshold_bug,no_failure_edge,3,NA,NA,NA,NA,NA,FAIL,UNEXPECTED_FAILURE,replay_status,UNEXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=UNEXPECTED_FAILURE
V2ZF-00035,ORIGINAL_REPLAY,v2,full,uart_command_bug,failing,1,NA,NA,NA,NA,NA,FAIL,NO_EXPECTED_FAILURE,replay_status,NO_EXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=NO_EXPECTED_FAILURE
V2ZF-00036,ORIGINAL_REPLAY,v2,full,uart_command_bug,failing,2,NA,NA,NA,NA,NA,FAIL,NO_EXPECTED_FAILURE,replay_status,NO_EXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=NO_EXPECTED_FAILURE
V2ZF-00037,ORIGINAL_REPLAY,v2,full,uart_command_bug,failing,3,NA,NA,NA,NA,NA,FAIL,NO_EXPECTED_FAILURE,replay_status,NO_EXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=NO_EXPECTED_FAILURE
V2ZF-00038,PAYLOAD_HASH,v2,full,uart_command_bug,fixed,1,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00039,PAYLOAD_HASH,v2,full,uart_command_bug,fixed,2,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00040,PAYLOAD_HASH,v2,full,uart_command_bug,fixed,3,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00041,PAYLOAD_HASH,v2,full,uart_command_bug,no_failure_edge,1,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
