benchmark,variant,seed,rtl_record_status,capsule_export_status,replay_status,property_id_record,property_id_replay,commit_match,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,notes
stack_corruption_bug,failing,3,PASS,PASS,PASS,4,4,PASS,PASS,PASS,21,23,5,"PASS replay benchmark=stack_corruption_bug variant=failing seed=3 property=4 events=1 cycles=23 commits=5 notes=""record/replay capsule packets match"""
stack_corruption_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,21,100000,6,"PASS replay benchmark=stack_corruption_bug variant=fixed seed=1 property=0 events=1 cycles=100000 commits=6 notes=""record/replay capsule packets match"""
stack_corruption_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,21,100000,6,"PASS replay benchmark=stack_corruption_bug variant=fixed seed=2 property=0 events=1 cycles=100000 commits=6 notes=""record/replay capsule packets match"""
stack_corruption_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,21,100000,6,"PASS replay benchmark=stack_corruption_bug variant=fixed seed=3 property=0 events=1 cycles=100000 commits=6 notes=""record/replay capsule packets match"""
uart_command_bug,failing,1,PASS,PASS,PASS,1,1,PASS,PASS,PASS,63,27,5,"PASS replay benchmark=uart_command_bug variant=failing seed=1 property=1 events=3 cycles=27 commits=5 notes=""record/replay capsule packets match"""
uart_command_bug,failing,2,PASS,PASS,PASS,1,1,PASS,PASS,PASS,63,27,5,"PASS replay benchmark=uart_command_bug variant=failing seed=2 property=1 events=3 cycles=27 commits=5 notes=""record/replay capsule packets match"""
uart_command_bug,failing,3,PASS,PASS,PASS,1,1,PASS,PASS,PASS,63,27,5,"PASS replay benchmark=uart_command_bug variant=failing seed=3 property=1 events=3 cycles=27 commits=5 notes=""record/replay capsule packets match"""
uart_command_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,63,100000,8,"PASS replay benchmark=uart_command_bug variant=fixed seed=1 property=0 events=3 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
uart_command_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,63,100000,8,"PASS replay benchmark=uart_command_bug variant=fixed seed=2 property=0 events=3 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
uart_command_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,63,100000,8,"PASS replay benchmark=uart_command_bug variant=fixed seed=3 property=0 events=3 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
uart_command_bug,no_failure_edge,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,63,100000,8,"PASS replay benchmark=uart_command_bug variant=no_failure_edge seed=1 property=0 events=3 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
uart_command_bug,no_failure_edge,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,63,100000,8,"PASS replay benchmark=uart_command_bug variant=no_failure_edge seed=2 property=0 events=3 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
uart_command_bug,no_failure_edge,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,63,100000,8,"PASS replay benchmark=uart_command_bug variant=no_failure_edge seed=3 property=0 events=3 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,failing,1,FAIL,FAIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,error_code=WRONG_PROPERTY
watchdog_timeout_bug,failing,2,FAIL,FAIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,error_code=WRONG_PROPERTY
watchdog_timeout_bug,failing,3,FAIL,FAIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,error_code=WRONG_PROPERTY
watchdog_timeout_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,168,100000,17,"PASS replay benchmark=watchdog_timeout_bug variant=fixed seed=1 property=0 events=8 cycles=100000 commits=17 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,168,100000,17,"PASS replay benchmark=watchdog_timeout_bug variant=fixed seed=2 property=0 events=8 cycles=100000 commits=17 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,168,100000,17,"PASS replay benchmark=watchdog_timeout_bug variant=fixed seed=3 property=0 events=8 cycles=100000 commits=17 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,no_failure_edge,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,378,100000,39,"PASS replay benchmark=watchdog_timeout_bug variant=no_failure_edge seed=1 property=0 events=18 cycles=100000 commits=39 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,no_failure_edge,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,378,100000,39,"PASS replay benchmark=watchdog_timeout_bug variant=no_failure_edge seed=2 property=0 events=18 cycles=100000 commits=39 notes=""record/replay capsule packets match"""
watchdog_timeout_bug,no_failure_edge,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,378,100000,39,"PASS replay benchmark=watchdog_timeout_bug variant=no_failure_edge seed=3 property=0 events=18 cycles=100000 commits=39 notes=""record/replay capsule packets match"""
