architecture,recorder_config,buffer_depth,workload_scale,pass_count,fail_count,timeout_count,blocked_count,replay_success_rate_pct,overflow_rate_pct,median_events,median_capsule_bytes,n,notes
v2,full,64,smoke,75,0,0,0,100.000000,0.000000,48.000000,384.000000,75,all rows in this group come from measured v2 replay runs
v2,full,1024,stress,75,0,0,0,100.000000,0.000000,1009.000000,8072.000000,75,all rows in this group come from measured v2 replay runs
v2,full,128,stress,75,0,0,0,100.000000,0.000000,113.000000,904.000000,75,all rows in this group come from measured v2 replay runs
v2,full,2048,stress,75,0,0,0,100.000000,0.000000,2033.000000,16264.000000,75,all rows in this group come from measured v2 replay runs
v2,full,256,stress,75,0,0,0,100.000000,0.000000,241.000000,1928.000000,75,all rows in this group come from measured v2 replay runs
v2,full,512,stress,75,0,0,0,100.000000,0.000000,497.000000,3976.000000,75,all rows in this group come from measured v2 replay runs
v2,full,64,stress,75,0,0,0,100.000000,0.000000,49.000000,392.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,1024,long,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,128,long,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,2048,long,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,256,long,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,512,long,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,64,long,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,1024,medium,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,128,medium,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,2048,medium,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,256,medium,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,512,medium,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,64,medium,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,1024,short,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,128,short,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,2048,short,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,256,short,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,512,short,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,64,short,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,1024,smoke,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
v2,hashed,128,smoke,75,0,0,0,100.000000,0.000000,1.000000,8.000000,75,all rows in this group come from measured v2 replay runs
