baseline,workload_scale,median_buffer_depth,median_bytes,mean_bytes,min_bytes,max_bytes,median_reduction_vs_full_instruction_pct,median_reduction_vs_full_commit_pct,n,notes
replaycapsule_core,short,256.000000,5376.000000,4340.000000,2751.000000,5376.000000,78.710000,89.350000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_core,smoke,256.000000,5376.000000,3273.200000,84.000000,5376.000000,59.520000,79.760000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_core,stress,16384.000000,344064.000000,275290.400000,172095.000000,344064.000000,22.840000,61.420000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,long,4096.000000,118784.000000,95081.333333,59479.000000,118784.000000,51.470000,75.740000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,medium,1024.000000,29696.000000,23810.933333,14935.000000,29696.000000,76.770000,88.380000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,short,256.000000,7424.000000,5993.333333,3799.000000,7424.000000,70.600000,85.300000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,smoke,256.000000,7424.000000,4520.133333,116.000000,7424.000000,44.100000,72.050000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,stress,16384.000000,475136.000000,380162.933333,237655.000000,475136.000000,-6.560000,46.720000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_payload_hashes,long,4096.000000,102400.000000,81966.666667,51275.000000,102400.000000,58.160000,79.080000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_payload_hashes,medium,1024.000000,25600.000000,20526.666667,12875.000000,25600.000000,79.970000,89.990000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_payload_hashes,short,256.000000,6400.000000,5166.666667,3275.000000,6400.000000,74.650000,87.330000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_payload_hashes,smoke,256.000000,6400.000000,3896.666667,100.000000,6400.000000,51.810000,75.900000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_payload_hashes,stress,16384.000000,409600.000000,327726.666667,204875.000000,409600.000000,8.140000,54.070000,75,summary preserves ESTIMATED labels in detailed CSV
riscv_etrace_branch_trace_estimate,long,4096.000000,16100.000000,11563.200000,4748.000000,16112.000000,93.420000,96.710000,75,summary preserves ESTIMATED labels in detailed CSV
riscv_etrace_branch_trace_estimate,medium,1024.000000,5052.000000,3513.600000,1196.000000,5064.000000,96.040000,98.020000,75,summary preserves ESTIMATED labels in detailed CSV
riscv_etrace_branch_trace_estimate,short,256.000000,1148.000000,816.000000,308.000000,1160.000000,95.410000,97.700000,75,summary preserves ESTIMATED labels in detailed CSV
riscv_etrace_branch_trace_estimate,smoke,256.000000,1212.000000,737.600000,16.000000,1224.000000,90.790000,95.390000,75,summary preserves ESTIMATED labels in detailed CSV
riscv_etrace_branch_trace_estimate,stress,16384.000000,56100.000000,41246.400000,18956.000000,56112.000000,87.420000,93.710000,75,summary preserves ESTIMATED labels in detailed CSV
snapshot_at_failure,long,4096.000000,4096.000000,4096.000000,4096.000000,4096.000000,98.330000,99.160000,75,summary preserves ESTIMATED labels in detailed CSV
snapshot_at_failure,medium,1024.000000,4096.000000,4096.000000,4096.000000,4096.000000,96.800000,98.400000,75,summary preserves ESTIMATED labels in detailed CSV
snapshot_at_failure,short,256.000000,4096.000000,4096.000000,4096.000000,4096.000000,83.780000,91.890000,75,summary preserves ESTIMATED labels in detailed CSV
snapshot_at_failure,smoke,256.000000,4096.000000,4096.000000,4096.000000,4096.000000,69.160000,84.580000,75,summary preserves ESTIMATED labels in detailed CSV
snapshot_at_failure,stress,16384.000000,4096.000000,4096.000000,4096.000000,4096.000000,99.080000,99.540000,75,summary preserves ESTIMATED labels in detailed CSV
