experiment_group,experiment_id,benchmark,variant,seed,workload_scale,memory_words,buffer_depth,recorder_config,target,flow,required_for_top_conference,expected_output,status,notes
Replay correctness,quick_replay,sensor_threshold_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,no_failure_edge,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,no_failure_edge,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,no_failure_edge,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,no_failure_edge,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,no_failure_edge,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,no_failure_edge,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,no_failure_edge,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,no_failure_edge,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,no_failure_edge,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,interrupt_race_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,interrupt_race_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,interrupt_race_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,interrupt_race_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,interrupt_race_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,interrupt_race_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,interrupt_race_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,interrupt_race_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,interrupt_race_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,interrupt_race_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,interrupt_race_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,interrupt_race_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,interrupt_race_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,interrupt_race_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,interrupt_race_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,interrupt_race_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,interrupt_race_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,interrupt_race_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,mmio_ordering_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,mmio_ordering_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,mmio_ordering_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,mmio_ordering_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,mmio_ordering_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,mmio_ordering_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,mmio_ordering_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,mmio_ordering_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,mmio_ordering_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,mmio_ordering_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,mmio_ordering_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,mmio_ordering_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,mmio_ordering_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,mmio_ordering_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,mmio_ordering_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,mmio_ordering_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,mmio_ordering_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,mmio_ordering_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,stack_corruption_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,stack_corruption_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,stack_corruption_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,stack_corruption_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,stack_corruption_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,stack_corruption_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,stack_corruption_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,stack_corruption_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,stack_corruption_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,stack_corruption_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,stack_corruption_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,stack_corruption_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,stack_corruption_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,stack_corruption_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,stack_corruption_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,stack_corruption_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,stack_corruption_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,stack_corruption_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,uart_command_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,uart_command_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,uart_command_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,uart_command_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,uart_command_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,uart_command_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,uart_command_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,uart_command_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,uart_command_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,uart_command_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,uart_command_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,uart_command_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,uart_command_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,uart_command_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,uart_command_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,uart_command_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,uart_command_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,uart_command_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,uart_command_bug,no_failure_edge,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,uart_command_bug,no_failure_edge,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,uart_command_bug,no_failure_edge,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,uart_command_bug,no_failure_edge,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,uart_command_bug,no_failure_edge,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,uart_command_bug,no_failure_edge,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,uart_command_bug,no_failure_edge,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,uart_command_bug,no_failure_edge,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,uart_command_bug,no_failure_edge,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,watchdog_timeout_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,watchdog_timeout_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,watchdog_timeout_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,watchdog_timeout_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,watchdog_timeout_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,watchdog_timeout_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,watchdog_timeout_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,watchdog_timeout_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,watchdog_timeout_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,watchdog_timeout_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,watchdog_timeout_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,watchdog_timeout_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,watchdog_timeout_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,watchdog_timeout_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,watchdog_timeout_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,watchdog_timeout_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,watchdog_timeout_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,watchdog_timeout_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,watchdog_timeout_bug,no_failure_edge,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,watchdog_timeout_bug,no_failure_edge,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,watchdog_timeout_bug,no_failure_edge,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,watchdog_timeout_bug,no_failure_edge,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,watchdog_timeout_bug,no_failure_edge,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,watchdog_timeout_bug,no_failure_edge,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,watchdog_timeout_bug,no_failure_edge,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,watchdog_timeout_bug,no_failure_edge,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,watchdog_timeout_bug,no_failure_edge,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Negative/corruption replay,quick_negative,sensor_threshold_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/full_rtl_replay_negative.csv,DEFINED,quick
Negative/corruption replay,quick_negative,interrupt_race_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/full_rtl_replay_negative.csv,DEFINED,quick
Negative/corruption replay,quick_negative,mmio_ordering_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/full_rtl_replay_negative.csv,DEFINED,quick
Negative/corruption replay,quick_negative,stack_corruption_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/full_rtl_replay_negative.csv,DEFINED,quick
Negative/corruption replay,quick_negative,uart_command_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/full_rtl_replay_negative.csv,DEFINED,quick
Negative/corruption replay,quick_negative,watchdog_timeout_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/full_rtl_replay_negative.csv,DEFINED,quick
Workload scaling,quick_workload_smoke,all,all,all,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,default firmware-length smoke stimulus
Buffer-depth sensitivity,quick_buffer_smoke,all,all,all,smoke,NA,NA,NA,NA,NA,yes,results/processed/buffer_sensitivity.csv,DEFINED,quick
Event-sufficiency ablation at scale,quick_event_ablation_smoke,all,all,all,smoke,NA,NA,NA,NA,NA,yes,results/processed/event_ablation_scaling.csv,DEFINED,quick
Workload scaling,quick_workload_medium,all,all,all,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,medium deterministic pre-trigger delay
Buffer-depth sensitivity,quick_buffer_medium,all,all,all,medium,NA,NA,NA,NA,NA,yes,results/processed/buffer_sensitivity.csv,DEFINED,quick
Event-sufficiency ablation at scale,quick_event_ablation_medium,all,all,all,medium,NA,NA,NA,NA,NA,yes,results/processed/event_ablation_scaling.csv,DEFINED,quick
Workload scaling,quick_workload_stress,all,all,all,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,stress deterministic pre-trigger delay
Buffer-depth sensitivity,quick_buffer_stress,all,all,all,stress,NA,NA,NA,NA,NA,yes,results/processed/buffer_sensitivity.csv,DEFINED,quick
Event-sufficiency ablation at scale,quick_event_ablation_stress,all,all,all,stress,NA,NA,NA,NA,NA,yes,results/processed/event_ablation_scaling.csv,DEFINED,quick
Recorder-configuration sensitivity,quick_recorder_minimal,all,all,all,all,NA,NA,minimal,NA,NA,yes,results/processed/recorder_config_replay.csv,DEFINED,replay-critical MMIO/interrupt/external-input boundary-event capture
Recorder-configuration sensitivity,quick_recorder_core,all,all,all,all,NA,NA,core,NA,NA,yes,results/processed/recorder_config_replay.csv,DEFINED,ReplayCapsule-RV property-relevant capture mode
Recorder-configuration sensitivity,quick_recorder_hashed,all,all,all,all,NA,NA,hashed,NA,NA,yes,results/processed/recorder_config_replay.csv,DEFINED,core capture mode; hash evidence is carried by signatures
Recorder-configuration sensitivity,quick_recorder_diagnostic,all,all,all,all,NA,NA,diagnostic,NA,NA,yes,results/processed/recorder_config_replay.csv,DEFINED,capture-all diagnostic mode
Recorder-configuration sensitivity,quick_recorder_full,all,all,all,all,NA,NA,full,NA,NA,yes,results/processed/recorder_config_replay.csv,DEFINED,capture-all diagnostic mode with strongest status evidence
Replay correctness,full_replay,sensor_threshold_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,1,short,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,1,short,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,1,short,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,1,long,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,1,long,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,1,long,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,2,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
