architecture,recorder_config,benchmark,variant,seed,workload_scale,baseline,measured_or_estimated,bytes,events,replay_success,final_signature_match,event_match,reduction_vs_full_instruction_pct,reduction_vs_full_commit_pct,reduction_vs_snapshot_pct,notes
baseline,baseline,mmio_ordering_bug,fixed,2,long,full_instruction_trace,ESTIMATED,244784,30598,NA,NA,NA,0.00,50.00,-5876.17,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,2,long,full_commit_trace,ESTIMATED,489568,30598,NA,NA,NA,-100.00,0.00,-11852.34,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,2,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,98.33,99.16,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,2,long,v1_full,MEASURED,86016,4096,true,PASS,PASS,64.86,82.43,-2000.00,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,2,long,v2_core,MEASURED,16,2,true,PASS,PASS,99.99,100.00,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,2,long,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.99,100.00,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,2,long,v2_full,MEASURED,1936,242,true,PASS,PASS,99.21,99.60,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,2,medium,full_instruction_trace,ESTIMATED,127832,15979,NA,NA,NA,0.00,50.00,-3020.90,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,2,medium,full_commit_trace,ESTIMATED,255664,15979,NA,NA,NA,-100.00,0.00,-6141.80,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,2,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,96.80,98.40,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,2,medium,v1_full,MEASURED,21504,1024,true,PASS,PASS,83.18,91.59,-425.00,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,2,medium,v2_core,MEASURED,16,2,true,PASS,PASS,99.99,99.99,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,2,medium,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.99,99.99,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,2,medium,v2_full,MEASURED,1936,242,true,PASS,PASS,98.49,99.24,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,2,short,full_instruction_trace,ESTIMATED,25264,3158,NA,NA,NA,0.00,50.00,-516.80,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,2,short,full_commit_trace,ESTIMATED,50528,3158,NA,NA,NA,-100.00,0.00,-1133.59,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,2,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,83.79,91.89,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,2,short,v1_full,MEASURED,5376,256,true,PASS,PASS,78.72,89.36,-31.25,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,2,short,v2_core,MEASURED,16,2,true,PASS,PASS,99.94,99.97,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,2,short,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.94,99.97,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,2,short,v2_full,MEASURED,1936,242,true,PASS,PASS,92.34,96.17,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,2,smoke,full_instruction_trace,ESTIMATED,13288,1661,NA,NA,NA,0.00,50.00,-224.41,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,2,smoke,full_commit_trace,ESTIMATED,26576,1661,NA,NA,NA,-100.00,0.00,-548.83,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,2,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,69.18,84.59,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,2,smoke,v1_full,MEASURED,5376,256,true,PASS,PASS,59.54,79.77,-31.25,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,2,smoke,v2_core,MEASURED,16,2,true,PASS,PASS,99.88,99.94,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,2,smoke,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.88,99.94,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,2,smoke,v2_full,MEASURED,1920,240,true,PASS,PASS,85.55,92.78,53.12,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,2,stress,full_instruction_trace,ESTIMATED,445912,55739,NA,NA,NA,0.00,50.00,-10786.52,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,2,stress,full_commit_trace,ESTIMATED,891824,55739,NA,NA,NA,-100.00,0.00,-21673.05,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,2,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,99.08,99.54,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,2,stress,v1_full,MEASURED,344064,16384,true,PASS,PASS,22.84,61.42,-8300.00,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,2,stress,v2_core,MEASURED,16,2,true,PASS,PASS,100.00,100.00,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,2,stress,v2_hashed,MEASURED,16,2,true,PASS,PASS,100.00,100.00,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,2,stress,v2_full,MEASURED,1936,242,true,PASS,PASS,99.57,99.78,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,3,long,full_instruction_trace,ESTIMATED,244784,30598,NA,NA,NA,0.00,50.00,-5876.17,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,3,long,full_commit_trace,ESTIMATED,489568,30598,NA,NA,NA,-100.00,0.00,-11852.34,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,3,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,98.33,99.16,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,3,long,v1_full,MEASURED,86016,4096,true,PASS,PASS,64.86,82.43,-2000.00,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,3,long,v2_core,MEASURED,16,2,true,PASS,PASS,99.99,100.00,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,3,long,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.99,100.00,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,3,long,v2_full,MEASURED,1936,242,true,PASS,PASS,99.21,99.60,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,3,medium,full_instruction_trace,ESTIMATED,127832,15979,NA,NA,NA,0.00,50.00,-3020.90,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,3,medium,full_commit_trace,ESTIMATED,255664,15979,NA,NA,NA,-100.00,0.00,-6141.80,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,3,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,96.80,98.40,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,3,medium,v1_full,MEASURED,21504,1024,true,PASS,PASS,83.18,91.59,-425.00,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,3,medium,v2_core,MEASURED,16,2,true,PASS,PASS,99.99,99.99,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,3,medium,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.99,99.99,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,3,medium,v2_full,MEASURED,1936,242,true,PASS,PASS,98.49,99.24,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,3,short,full_instruction_trace,ESTIMATED,25264,3158,NA,NA,NA,0.00,50.00,-516.80,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,3,short,full_commit_trace,ESTIMATED,50528,3158,NA,NA,NA,-100.00,0.00,-1133.59,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,3,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,83.79,91.89,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,3,short,v1_full,MEASURED,5376,256,true,PASS,PASS,78.72,89.36,-31.25,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,3,short,v2_core,MEASURED,16,2,true,PASS,PASS,99.94,99.97,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,3,short,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.94,99.97,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,3,short,v2_full,MEASURED,1936,242,true,PASS,PASS,92.34,96.17,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,3,smoke,full_instruction_trace,ESTIMATED,13288,1661,NA,NA,NA,0.00,50.00,-224.41,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,3,smoke,full_commit_trace,ESTIMATED,26576,1661,NA,NA,NA,-100.00,0.00,-548.83,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,3,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,69.18,84.59,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,3,smoke,v1_full,MEASURED,5376,256,true,PASS,PASS,59.54,79.77,-31.25,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,3,smoke,v2_core,MEASURED,16,2,true,PASS,PASS,99.88,99.94,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,3,smoke,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.88,99.94,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,3,smoke,v2_full,MEASURED,1920,240,true,PASS,PASS,85.55,92.78,53.12,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,3,stress,full_instruction_trace,ESTIMATED,445912,55739,NA,NA,NA,0.00,50.00,-10786.52,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,3,stress,full_commit_trace,ESTIMATED,891824,55739,NA,NA,NA,-100.00,0.00,-21673.05,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,3,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,99.08,99.54,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,3,stress,v1_full,MEASURED,344064,16384,true,PASS,PASS,22.84,61.42,-8300.00,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,3,stress,v2_core,MEASURED,16,2,true,PASS,PASS,100.00,100.00,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,3,stress,v2_hashed,MEASURED,16,2,true,PASS,PASS,100.00,100.00,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,3,stress,v2_full,MEASURED,1936,242,true,PASS,PASS,99.57,99.78,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,4,long,full_instruction_trace,ESTIMATED,244784,30598,NA,NA,NA,0.00,50.00,-5876.17,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,4,long,full_commit_trace,ESTIMATED,489568,30598,NA,NA,NA,-100.00,0.00,-11852.34,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,4,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,98.33,99.16,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,4,long,v1_full,MEASURED,86016,4096,true,PASS,PASS,64.86,82.43,-2000.00,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,4,long,v2_core,MEASURED,16,2,true,PASS,PASS,99.99,100.00,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,4,long,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.99,100.00,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,4,long,v2_full,MEASURED,1936,242,true,PASS,PASS,99.21,99.60,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,4,medium,full_instruction_trace,ESTIMATED,127832,15979,NA,NA,NA,0.00,50.00,-3020.90,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,4,medium,full_commit_trace,ESTIMATED,255664,15979,NA,NA,NA,-100.00,0.00,-6141.80,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,4,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,96.80,98.40,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,4,medium,v1_full,MEASURED,21504,1024,true,PASS,PASS,83.18,91.59,-425.00,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,4,medium,v2_core,MEASURED,16,2,true,PASS,PASS,99.99,99.99,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,4,medium,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.99,99.99,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,4,medium,v2_full,MEASURED,1936,242,true,PASS,PASS,98.49,99.24,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,4,short,full_instruction_trace,ESTIMATED,25264,3158,NA,NA,NA,0.00,50.00,-516.80,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,4,short,full_commit_trace,ESTIMATED,50528,3158,NA,NA,NA,-100.00,0.00,-1133.59,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,4,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,83.79,91.89,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,4,short,v1_full,MEASURED,5376,256,true,PASS,PASS,78.72,89.36,-31.25,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,4,short,v2_core,MEASURED,16,2,true,PASS,PASS,99.94,99.97,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,4,short,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.94,99.97,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,4,short,v2_full,MEASURED,1936,242,true,PASS,PASS,92.34,96.17,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,4,smoke,full_instruction_trace,ESTIMATED,13288,1661,NA,NA,NA,0.00,50.00,-224.41,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,4,smoke,full_commit_trace,ESTIMATED,26576,1661,NA,NA,NA,-100.00,0.00,-548.83,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,4,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,69.18,84.59,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,4,smoke,v1_full,MEASURED,5376,256,true,PASS,PASS,59.54,79.77,-31.25,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,4,smoke,v2_core,MEASURED,16,2,true,PASS,PASS,99.88,99.94,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,4,smoke,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.88,99.94,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,4,smoke,v2_full,MEASURED,1920,240,true,PASS,PASS,85.55,92.78,53.12,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,4,stress,full_instruction_trace,ESTIMATED,445912,55739,NA,NA,NA,0.00,50.00,-10786.52,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,4,stress,full_commit_trace,ESTIMATED,891824,55739,NA,NA,NA,-100.00,0.00,-21673.05,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,4,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,99.08,99.54,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,4,stress,v1_full,MEASURED,344064,16384,true,PASS,PASS,22.84,61.42,-8300.00,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,4,stress,v2_core,MEASURED,16,2,true,PASS,PASS,100.00,100.00,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,4,stress,v2_hashed,MEASURED,16,2,true,PASS,PASS,100.00,100.00,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,4,stress,v2_full,MEASURED,1936,242,true,PASS,PASS,99.57,99.78,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,5,long,full_instruction_trace,ESTIMATED,244784,30598,NA,NA,NA,0.00,50.00,-5876.17,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,5,long,full_commit_trace,ESTIMATED,489568,30598,NA,NA,NA,-100.00,0.00,-11852.34,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,5,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,98.33,99.16,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,5,long,v1_full,MEASURED,86016,4096,true,PASS,PASS,64.86,82.43,-2000.00,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,5,long,v2_core,MEASURED,16,2,true,PASS,PASS,99.99,100.00,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,5,long,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.99,100.00,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,5,long,v2_full,MEASURED,1936,242,true,PASS,PASS,99.21,99.60,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,5,medium,full_instruction_trace,ESTIMATED,127832,15979,NA,NA,NA,0.00,50.00,-3020.90,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,5,medium,full_commit_trace,ESTIMATED,255664,15979,NA,NA,NA,-100.00,0.00,-6141.80,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,5,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,96.80,98.40,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,5,medium,v1_full,MEASURED,21504,1024,true,PASS,PASS,83.18,91.59,-425.00,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,5,medium,v2_core,MEASURED,16,2,true,PASS,PASS,99.99,99.99,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,5,medium,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.99,99.99,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,5,medium,v2_full,MEASURED,1936,242,true,PASS,PASS,98.49,99.24,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,5,short,full_instruction_trace,ESTIMATED,25264,3158,NA,NA,NA,0.00,50.00,-516.80,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,5,short,full_commit_trace,ESTIMATED,50528,3158,NA,NA,NA,-100.00,0.00,-1133.59,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,5,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,83.79,91.89,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,5,short,v1_full,MEASURED,5376,256,true,PASS,PASS,78.72,89.36,-31.25,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,5,short,v2_core,MEASURED,16,2,true,PASS,PASS,99.94,99.97,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,5,short,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.94,99.97,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,5,short,v2_full,MEASURED,1936,242,true,PASS,PASS,92.34,96.17,52.73,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,5,smoke,full_instruction_trace,ESTIMATED,13288,1661,NA,NA,NA,0.00,50.00,-224.41,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,5,smoke,full_commit_trace,ESTIMATED,26576,1661,NA,NA,NA,-100.00,0.00,-548.83,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,5,smoke,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,69.18,84.59,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,5,smoke,v1_full,MEASURED,5376,256,true,PASS,PASS,59.54,79.77,-31.25,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,5,smoke,v2_core,MEASURED,16,2,true,PASS,PASS,99.88,99.94,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,5,smoke,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.88,99.94,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,5,smoke,v2_full,MEASURED,1920,240,true,PASS,PASS,85.55,92.78,53.12,MEASURED v2 exported capsule
baseline,baseline,mmio_ordering_bug,fixed,5,stress,full_instruction_trace,ESTIMATED,445912,55739,NA,NA,NA,0.00,50.00,-10786.52,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,mmio_ordering_bug,fixed,5,stress,full_commit_trace,ESTIMATED,891824,55739,NA,NA,NA,-100.00,0.00,-21673.05,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,mmio_ordering_bug,fixed,5,stress,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,99.08,99.54,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,mmio_ordering_bug,fixed,5,stress,v1_full,MEASURED,344064,16384,true,PASS,PASS,22.84,61.42,-8300.00,MEASURED v1 workload capsule
v2,core,mmio_ordering_bug,fixed,5,stress,v2_core,MEASURED,16,2,true,PASS,PASS,100.00,100.00,99.61,MEASURED v2 exported capsule
v2,hashed,mmio_ordering_bug,fixed,5,stress,v2_hashed,MEASURED,16,2,true,PASS,PASS,100.00,100.00,99.61,MEASURED v2 exported capsule
v2,full,mmio_ordering_bug,fixed,5,stress,v2_full,MEASURED,1936,242,true,PASS,PASS,99.57,99.78,52.73,MEASURED v2 exported capsule
baseline,baseline,sensor_threshold_bug,failing,1,long,full_instruction_trace,ESTIMATED,41224,5153,NA,NA,NA,0.00,50.00,-906.45,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,sensor_threshold_bug,failing,1,long,full_commit_trace,ESTIMATED,82448,5153,NA,NA,NA,-100.00,0.00,-1912.89,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,sensor_threshold_bug,failing,1,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,90.06,95.03,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,sensor_threshold_bug,failing,1,long,v1_full,MEASURED,43176,2056,true,PASS,PASS,-4.74,47.63,-954.10,MEASURED v1 workload capsule
v2,core,sensor_threshold_bug,failing,1,long,v2_core,MEASURED,8,1,true,PASS,PASS,99.98,99.99,99.80,MEASURED v2 exported capsule
v2,hashed,sensor_threshold_bug,failing,1,long,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.98,99.99,99.80,MEASURED v2 exported capsule
v2,full,sensor_threshold_bug,failing,1,long,v2_full,MEASURED,1928,241,true,PASS,PASS,95.32,97.66,52.93,MEASURED v2 exported capsule
baseline,baseline,sensor_threshold_bug,failing,1,medium,full_instruction_trace,ESTIMATED,10504,1313,NA,NA,NA,0.00,50.00,-156.45,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,sensor_threshold_bug,failing,1,medium,full_commit_trace,ESTIMATED,21008,1313,NA,NA,NA,-100.00,0.00,-412.89,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,sensor_threshold_bug,failing,1,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,61.01,80.50,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,sensor_threshold_bug,failing,1,medium,v1_full,MEASURED,10920,520,true,PASS,PASS,-3.96,48.02,-166.60,MEASURED v1 workload capsule
v2,core,sensor_threshold_bug,failing,1,medium,v2_core,MEASURED,8,1,true,PASS,PASS,99.92,99.96,99.80,MEASURED v2 exported capsule
v2,hashed,sensor_threshold_bug,failing,1,medium,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.92,99.96,99.80,MEASURED v2 exported capsule
v2,full,sensor_threshold_bug,failing,1,medium,v2_full,MEASURED,1928,241,true,PASS,PASS,81.65,90.82,52.93,MEASURED v2 exported capsule
baseline,baseline,sensor_threshold_bug,failing,1,short,full_instruction_trace,ESTIMATED,2824,353,NA,NA,NA,0.00,50.00,31.05,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,sensor_threshold_bug,failing,1,short,full_commit_trace,ESTIMATED,5648,353,NA,NA,NA,-100.00,0.00,-37.89,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,sensor_threshold_bug,failing,1,short,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,-45.04,27.48,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,sensor_threshold_bug,failing,1,short,v1_full,MEASURED,2856,136,true,PASS,PASS,-1.13,49.43,30.27,MEASURED v1 workload capsule
v2,core,sensor_threshold_bug,failing,1,short,v2_core,MEASURED,8,1,true,PASS,PASS,99.72,99.86,99.80,MEASURED v2 exported capsule
v2,hashed,sensor_threshold_bug,failing,1,short,v2_hashed,MEASURED,8,1,true,PASS,PASS,99.72,99.86,99.80,MEASURED v2 exported capsule
v2,full,sensor_threshold_bug,failing,1,short,v2_full,MEASURED,1928,241,true,PASS,PASS,31.73,65.86,52.93,MEASURED v2 exported capsule
