architecture,recorder_config,baseline,workload_scale,median_bytes,mean_bytes,min_bytes,max_bytes,median_reduction_vs_full_instruction_pct,median_reduction_vs_full_commit_pct,n,notes
baseline,trace_or_snapshot,pc_only_trace,stress,222952.000000,166575.466667,81988.000000,222956.000000,50.000000,75.000000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,snapshot_at_failure,long,4096.000000,4096.000000,4096.000000,4096.000000,98.330000,99.160000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,snapshot_at_failure,medium,4096.000000,4096.000000,4096.000000,4096.000000,96.800000,98.400000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,snapshot_at_failure,short,4096.000000,4096.000000,4096.000000,4096.000000,83.780000,91.890000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,snapshot_at_failure,smoke,4096.000000,4096.000000,4096.000000,4096.000000,69.160000,84.580000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,snapshot_at_failure,stress,4096.000000,4096.000000,4096.000000,4096.000000,99.080000,99.540000,75,detailed CSV marks each row measured_or_estimated
v1,full,v1_replaycapsule_full,long,5376.000000,5376.000000,5376.000000,5376.000000,97.800000,98.900000,75,detailed CSV marks each row measured_or_estimated
v1,full,v1_replaycapsule_full,medium,5376.000000,5376.000000,5376.000000,5376.000000,95.790000,97.900000,75,detailed CSV marks each row measured_or_estimated
v1,full,v1_replaycapsule_full,short,5376.000000,4340.000000,2751.000000,5376.000000,78.710000,89.350000,75,detailed CSV marks each row measured_or_estimated
v1,full,v1_replaycapsule_full,smoke,5376.000000,3273.200000,84.000000,5376.000000,59.520000,79.760000,75,detailed CSV marks each row measured_or_estimated
v1,full,v1_replaycapsule_full,stress,5376.000000,5376.000000,5376.000000,5376.000000,98.790000,99.400000,75,detailed CSV marks each row measured_or_estimated
v2,core,v2_core,long,736.000000,736.000000,736.000000,736.000000,99.700000,99.850000,75,detailed CSV marks each row measured_or_estimated
v2,core,v2_core,medium,736.000000,736.000000,736.000000,736.000000,99.420000,99.710000,75,detailed CSV marks each row measured_or_estimated
v2,core,v2_core,short,736.000000,597.866667,384.000000,736.000000,97.080000,98.540000,75,detailed CSV marks each row measured_or_estimated
v2,core,v2_core,smoke,736.000000,456.000000,32.000000,736.000000,94.460000,97.230000,75,detailed CSV marks each row measured_or_estimated
v2,core,v2_core,stress,736.000000,736.000000,736.000000,736.000000,99.830000,99.920000,75,detailed CSV marks each row measured_or_estimated
