architecture,recorder_config,benchmark,variant,seed,firmware_source,compiler_backed,firmware_sha256,rtl_record_status,capsule_export_status,replay_status,property_id_record,property_id_replay,commit_match,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,overflow,replay_consumer_status,replay_consumer_checked,replay_consumer_consumed,replay_consumer_expected,replay_consumer_error_code,stream_event_count,stream_event_sent_count,replay_critical_event_count,stream_stall_count,dropped_diagnostic_count,replay_critical_overflow_count,notes
v2,core,interrupt_race_bug,failing,2,compiler_c,true,eb831e5251bbb085a4a48b9cd5410a94ff3aec29ac284b044ad14ff84512d592,PASS,PASS,PASS,2,2,PASS,PASS,PASS,24,61,15,false,PASS,true,3,3,0,3,3,3,0,0,0,"PASS replay benchmark=interrupt_race_bug variant=failing seed=2 arch=v2 recorder_config=core property=2 events=3 cycles=60 commits=15 notes=""record/replay canonical events match; rtl replay consumer consumed 3/3"""
v2,core,interrupt_race_bug,failing,3,compiler_c,true,eb831e5251bbb085a4a48b9cd5410a94ff3aec29ac284b044ad14ff84512d592,PASS,PASS,PASS,2,2,PASS,PASS,PASS,24,61,15,false,PASS,true,3,3,0,3,3,3,0,0,0,"PASS replay benchmark=interrupt_race_bug variant=failing seed=3 arch=v2 recorder_config=core property=2 events=3 cycles=60 commits=15 notes=""record/replay canonical events match; rtl replay consumer consumed 3/3"""
v2,core,interrupt_race_bug,fixed,1,compiler_c,true,acc2d9c45d5403575a85a04d26e57a4cbba6de6b00fb79131ce419e6a9df12f9,PASS,PASS,PASS,0,0,NA,PASS,PASS,32,100000,33326,false,PASS,true,4,4,0,4,4,4,0,0,0,"PASS replay benchmark=interrupt_race_bug variant=fixed seed=1 arch=v2 recorder_config=core property=0 events=4 cycles=100000 commits=33327 notes=""record/replay canonical events match; rtl replay consumer consumed 4/4"""
v2,core,interrupt_race_bug,fixed,2,compiler_c,true,acc2d9c45d5403575a85a04d26e57a4cbba6de6b00fb79131ce419e6a9df12f9,PASS,PASS,PASS,0,0,NA,PASS,PASS,32,100000,33326,false,PASS,true,4,4,0,4,4,4,0,0,0,"PASS replay benchmark=interrupt_race_bug variant=fixed seed=2 arch=v2 recorder_config=core property=0 events=4 cycles=100000 commits=33327 notes=""record/replay canonical events match; rtl replay consumer consumed 4/4"""
v2,core,interrupt_race_bug,fixed,3,compiler_c,true,acc2d9c45d5403575a85a04d26e57a4cbba6de6b00fb79131ce419e6a9df12f9,PASS,PASS,PASS,0,0,NA,PASS,PASS,32,100000,33326,false,PASS,true,4,4,0,4,4,4,0,0,0,"PASS replay benchmark=interrupt_race_bug variant=fixed seed=3 arch=v2 recorder_config=core property=0 events=4 cycles=100000 commits=33327 notes=""record/replay canonical events match; rtl replay consumer consumed 4/4"""
v2,core,mmio_ordering_bug,failing,1,compiler_c,true,a4ec640d98e1bac6c5b57d4f6073589d14d0ca5aedf8e8452042f79da5b64111,PASS,PASS,PASS,5,5,PASS,PASS,PASS,16,59,16,false,PASS,true,2,2,0,2,2,2,0,0,0,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=1 arch=v2 recorder_config=core property=5 events=2 cycles=58 commits=16 notes=""record/replay canonical events match; rtl replay consumer consumed 2/2"""
v2,core,mmio_ordering_bug,failing,2,compiler_c,true,a4ec640d98e1bac6c5b57d4f6073589d14d0ca5aedf8e8452042f79da5b64111,PASS,PASS,PASS,5,5,PASS,PASS,PASS,16,59,16,false,PASS,true,2,2,0,2,2,2,0,0,0,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=2 arch=v2 recorder_config=core property=5 events=2 cycles=58 commits=16 notes=""record/replay canonical events match; rtl replay consumer consumed 2/2"""
v2,core,mmio_ordering_bug,failing,3,compiler_c,true,a4ec640d98e1bac6c5b57d4f6073589d14d0ca5aedf8e8452042f79da5b64111,PASS,PASS,PASS,5,5,PASS,PASS,PASS,16,59,16,false,PASS,true,2,2,0,2,2,2,0,0,0,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=3 arch=v2 recorder_config=core property=5 events=2 cycles=58 commits=16 notes=""record/replay canonical events match; rtl replay consumer consumed 2/2"""
v2,core,mmio_ordering_bug,fixed,1,compiler_c,true,66d7d0284211a0118f5b02d7fa23521065e7d92fb71f321625f4f94108fb5a40,PASS,PASS,PASS,0,0,NA,PASS,PASS,16,100000,33328,false,PASS,true,2,2,0,2,2,2,0,0,0,"PASS replay benchmark=mmio_ordering_bug variant=fixed seed=1 arch=v2 recorder_config=core property=0 events=2 cycles=100000 commits=33328 notes=""record/replay canonical events match; rtl replay consumer consumed 2/2"""
v2,core,mmio_ordering_bug,fixed,2,compiler_c,true,66d7d0284211a0118f5b02d7fa23521065e7d92fb71f321625f4f94108fb5a40,PASS,PASS,PASS,0,0,NA,PASS,PASS,16,100000,33328,false,PASS,true,2,2,0,2,2,2,0,0,0,"PASS replay benchmark=mmio_ordering_bug variant=fixed seed=2 arch=v2 recorder_config=core property=0 events=2 cycles=100000 commits=33328 notes=""record/replay canonical events match; rtl replay consumer consumed 2/2"""
v2,core,mmio_ordering_bug,fixed,3,compiler_c,true,66d7d0284211a0118f5b02d7fa23521065e7d92fb71f321625f4f94108fb5a40,PASS,PASS,PASS,0,0,NA,PASS,PASS,16,100000,33328,false,PASS,true,2,2,0,2,2,2,0,0,0,"PASS replay benchmark=mmio_ordering_bug variant=fixed seed=3 arch=v2 recorder_config=core property=0 events=2 cycles=100000 commits=33328 notes=""record/replay canonical events match; rtl replay consumer consumed 2/2"""
v2,core,stack_corruption_bug,failing,1,compiler_c,true,47774927de8e016c216951a6c9fbbdcfabb9f8a257083d5c068fe0020df1710d,PASS,PASS,PASS,4,4,PASS,PASS,PASS,0,62,16,false,PASS,true,0,0,0,0,0,0,0,0,0,"PASS replay benchmark=stack_corruption_bug variant=failing seed=1 arch=v2 recorder_config=core property=4 events=0 cycles=61 commits=16 notes=""record/replay canonical events match; rtl replay consumer consumed 0/0"""
v2,core,stack_corruption_bug,failing,2,compiler_c,true,47774927de8e016c216951a6c9fbbdcfabb9f8a257083d5c068fe0020df1710d,PASS,PASS,PASS,4,4,PASS,PASS,PASS,0,62,16,false,PASS,true,0,0,0,0,0,0,0,0,0,"PASS replay benchmark=stack_corruption_bug variant=failing seed=2 arch=v2 recorder_config=core property=4 events=0 cycles=61 commits=16 notes=""record/replay canonical events match; rtl replay consumer consumed 0/0"""
