architecture,recorder_config,buffer_depth,workload_scale,overflow_rate_pct,replay_success_rate_pct,median_capsule_bytes,median_events,n,notes
v1,full,2048,medium,0.000000,100.000000,21504.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,2048,short,0.000000,100.000000,5376.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,2048,smoke,0.000000,100.000000,5376.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,2048,stress,100.000000,0.000000,344064.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,4,long,100.000000,NA,11488.000000,1434.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,4,medium,100.000000,NA,2888.000000,359.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,4,short,100.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,4,smoke,60.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,4,stress,100.000000,NA,45896.000000,5735.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,8,long,100.000000,NA,11488.000000,1434.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,8,medium,100.000000,NA,2888.000000,359.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,8,short,100.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,8,smoke,60.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,8,stress,100.000000,NA,45896.000000,5735.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,16,long,100.000000,NA,11488.000000,1434.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,16,medium,100.000000,NA,2888.000000,359.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,16,short,100.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,16,smoke,60.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,16,stress,100.000000,NA,45896.000000,5735.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,32,long,100.000000,NA,11488.000000,1434.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,32,medium,100.000000,NA,2888.000000,359.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,32,short,100.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,32,smoke,60.000000,NA,736.000000,90.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,32,stress,100.000000,NA,45896.000000,5735.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,64,long,100.000000,NA,11488.000000,1434.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,core,64,medium,100.000000,NA,2888.000000,359.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
