benchmark,variant,seed,fallback_status,compiler_status,fallback_property_id,compiler_property_id,fallback_cycles_to_failure,compiler_cycles_to_failure,fallback_commits_to_failure,compiler_commits_to_failure,fallback_event_count,compiler_event_count,same_property,same_event_count,first_divergence,likely_root_cause,notes
stack_corruption_bug,fixed,3,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33327,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
uart_command_bug,failing,1,NOT_RUN,PASS,1,1,NOT_RUN,67,NOT_RUN,17,NOT_RUN,5,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
uart_command_bug,failing,2,NOT_RUN,PASS,1,1,NOT_RUN,67,NOT_RUN,17,NOT_RUN,5,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
uart_command_bug,failing,3,NOT_RUN,PASS,1,1,NOT_RUN,67,NOT_RUN,17,NOT_RUN,5,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
uart_command_bug,fixed,1,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33328,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
uart_command_bug,fixed,2,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33328,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
uart_command_bug,fixed,3,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33328,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
uart_command_bug,no_failure_edge,1,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33328,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
uart_command_bug,no_failure_edge,2,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33328,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
uart_command_bug,no_failure_edge,3,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33328,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
watchdog_timeout_bug,failing,1,NOT_RUN,PASS,6,6,NOT_RUN,105,NOT_RUN,26,NOT_RUN,7,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
watchdog_timeout_bug,failing,2,NOT_RUN,PASS,6,6,NOT_RUN,105,NOT_RUN,26,NOT_RUN,7,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
watchdog_timeout_bug,failing,3,NOT_RUN,PASS,6,6,NOT_RUN,105,NOT_RUN,26,NOT_RUN,7,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
watchdog_timeout_bug,fixed,1,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33324,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
watchdog_timeout_bug,fixed,2,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33324,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
watchdog_timeout_bug,fixed,3,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33324,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
watchdog_timeout_bug,no_failure_edge,1,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33327,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
watchdog_timeout_bug,no_failure_edge,2,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33327,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
watchdog_timeout_bug,no_failure_edge,3,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33327,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
