benchmark,variant,seed,config,firmware_source,compiler_backed,cycles_to_completion,cycles_to_failure,commits_to_completion,commits_to_failure,event_count,capsule_bytes,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,baseline_config,status,notes
interrupt_race_bug,failing,1,baseline_no_recorder,compiler_c,true,NA,60,NA,15,0,0,0.006522,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,failing,1,recorder_present_disabled,compiler_c,true,NA,60,NA,15,0,0,0.006053,0.00,0.00,-7.19,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,failing,1,recorder_enabled,compiler_c,true,NA,60,NA,15,4,84,0.006039,0.00,0.00,-7.41,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,failing,2,baseline_no_recorder,compiler_c,true,NA,60,NA,15,0,0,0.006155,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,failing,2,recorder_present_disabled,compiler_c,true,NA,60,NA,15,0,0,0.005919,0.00,0.00,-3.83,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,failing,2,recorder_enabled,compiler_c,true,NA,60,NA,15,4,84,0.006421,0.00,0.00,4.32,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,failing,3,baseline_no_recorder,compiler_c,true,NA,60,NA,15,0,0,0.006362,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,failing,3,recorder_present_disabled,compiler_c,true,NA,60,NA,15,0,0,0.006288,0.00,0.00,-1.16,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,failing,3,recorder_enabled,compiler_c,true,NA,60,NA,15,4,84,0.006300,0.00,0.00,-0.97,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,fixed,1,baseline_no_recorder,compiler_c,true,100000,NA,33326,NA,0,0,0.014484,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,fixed,1,recorder_present_disabled,compiler_c,true,100000,NA,33326,NA,0,0,0.102357,0.00,0.00,606.69,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,fixed,1,recorder_enabled,compiler_c,true,100000,NA,33326,NA,256,5376,0.099727,0.00,0.00,588.53,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,fixed,2,baseline_no_recorder,compiler_c,true,100000,NA,33326,NA,0,0,0.014127,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,fixed,2,recorder_present_disabled,compiler_c,true,100000,NA,33326,NA,0,0,0.098464,0.00,0.00,596.99,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,fixed,2,recorder_enabled,compiler_c,true,100000,NA,33326,NA,256,5376,0.099657,0.00,0.00,605.44,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,fixed,3,baseline_no_recorder,compiler_c,true,100000,NA,33326,NA,0,0,0.014191,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,fixed,3,recorder_present_disabled,compiler_c,true,100000,NA,33326,NA,0,0,0.100043,0.00,0.00,604.97,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
interrupt_race_bug,fixed,3,recorder_enabled,compiler_c,true,100000,NA,33326,NA,256,5376,0.101823,0.00,0.00,617.52,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
mmio_ordering_bug,failing,1,baseline_no_recorder,compiler_c,true,NA,56,NA,14,0,0,0.006250,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
