architecture,recorder_config,target,flow,design,memory_words,buffer_depth,lut,ff,bram,dsp,cells,area_um2,fmax_mhz,wns,tns,power_mw,status,report_path,notes
baseline,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,128,16,2603,956,3,0,NA,NA,68.85,NA,NA,NA,PASS,results/raw/mapped_scaling_v2_measured/full_core_baseline_board_mem128_buf16_ecp5_85k_nextpnr.txt,real same-target ECP5 full-core place-and-route completed
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_v2_core_board,128,16,5067,2508,3,0,NA,NA,55.40,NA,NA,NA,PASS,results/raw/mapped_scaling_v2_measured/full_core_v2_core_board_mem128_buf16_ecp5_85k_nextpnr.txt,real same-target ECP5 full-core place-and-route completed
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_v2_hashed_board,128,16,5268,2508,3,0,NA,NA,54.82,NA,NA,NA,PASS,results/raw/mapped_scaling_v2_measured/full_core_v2_hashed_board_mem128_buf16_ecp5_85k_nextpnr.txt,real same-target ECP5 full-core place-and-route completed
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_v2_full_board,128,16,5354,2556,3,0,NA,NA,53.73,NA,NA,NA,PASS,results/raw/mapped_scaling_v2_measured/full_core_v2_full_board_mem128_buf16_ecp5_85k_nextpnr.txt,real same-target ECP5 full-core place-and-route completed
