recorder_config,benchmark,variant,seed,workload_scale,cycles,commits,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,notes
minimal,sensor_threshold_bug,no_failure_edge,4,short,10000,3158,0.016089,0.00,0.00,111.59,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=10000 commits=3158 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,4,short,10000,3158,0.016475,0.00,0.00,116.66,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=10000 commits=3158 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,4,short,10000,3158,0.017348,0.00,0.00,128.14,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=10000 commits=3158 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,4,short,10000,3158,0.016283,0.00,0.00,114.14,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=10000 commits=3158 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,4,short,10000,3158,0.016348,0.00,0.00,114.99,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=10000 commits=3158 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,5,short,10000,3158,0.016212,0.00,0.00,127.31,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=10000 commits=3158 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,5,short,10000,3158,0.016369,0.00,0.00,129.51,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=10000 commits=3158 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,5,short,10000,3158,0.016327,0.00,0.00,128.93,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=10000 commits=3158 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,5,short,10000,3158,0.016538,0.00,0.00,131.88,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=10000 commits=3158 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,5,short,10000,3158,0.016029,0.00,0.00,124.75,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=10000 commits=3158 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,1,medium,50000,15979,0.054373,0.00,0.00,427.18,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,1,medium,50000,15979,0.056068,0.00,0.00,443.61,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,1,medium,50000,15979,0.055936,0.00,0.00,442.33,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,1,medium,50000,15979,0.055158,0.00,0.00,434.79,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,1,medium,50000,15979,0.054454,0.00,0.00,427.96,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,2,medium,50000,15979,0.054796,0.00,0.00,395.31,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,2,medium,50000,15979,0.055935,0.00,0.00,405.60,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,2,medium,50000,15979,0.063236,0.00,0.00,471.60,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,2,medium,50000,15979,0.055293,0.00,0.00,399.80,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,2,medium,50000,15979,0.054161,0.00,0.00,389.57,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,3,medium,50000,15979,0.055255,0.00,0.00,402.00,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,3,medium,50000,15979,0.054790,0.00,0.00,397.77,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,3,medium,50000,15979,0.055440,0.00,0.00,403.68,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,3,medium,50000,15979,0.054302,0.00,0.00,393.34,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,3,medium,50000,15979,0.054453,0.00,0.00,394.71,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,4,medium,50000,15979,0.054083,0.00,0.00,412.25,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,4,medium,50000,15979,0.056226,0.00,0.00,432.54,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,4,medium,50000,15979,0.059049,0.00,0.00,459.28,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,4,medium,50000,15979,0.056304,0.00,0.00,433.28,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,4,medium,50000,15979,0.055383,0.00,0.00,424.56,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,5,medium,50000,15979,0.054892,0.00,0.00,406.80,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,5,medium,50000,15979,0.055071,0.00,0.00,408.46,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,5,medium,50000,15979,0.064032,0.00,0.00,491.19,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,5,medium,50000,15979,0.056017,0.00,0.00,417.19,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,5,medium,50000,15979,0.056702,0.00,0.00,423.52,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=50000 commits=15979 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,1,long,100000,30598,0.101626,0.00,0.00,572.53,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,1,long,100000,30598,0.103293,0.00,0.00,583.56,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,1,long,100000,30598,0.103733,0.00,0.00,586.47,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,1,long,100000,30598,0.102765,0.00,0.00,580.07,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,1,long,100000,30598,0.103011,0.00,0.00,581.70,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,2,long,100000,30598,0.117779,0.00,0.00,660.40,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,2,long,100000,30598,0.101479,0.00,0.00,555.17,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,2,long,100000,30598,0.104310,0.00,0.00,573.45,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,2,long,100000,30598,0.103032,0.00,0.00,565.19,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,2,long,100000,30598,0.103492,0.00,0.00,568.16,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,3,long,100000,30598,0.107429,0.00,0.00,607.00,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,3,long,100000,30598,0.102176,0.00,0.00,572.43,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,3,long,100000,30598,0.107137,0.00,0.00,605.08,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,3,long,100000,30598,0.106368,0.00,0.00,600.02,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,3,long,100000,30598,0.103038,0.00,0.00,578.10,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,4,long,100000,30598,0.101554,0.00,0.00,580.52,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,4,long,100000,30598,0.102264,0.00,0.00,585.28,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,4,long,100000,30598,0.102407,0.00,0.00,586.24,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,4,long,100000,30598,0.103505,0.00,0.00,593.59,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,4,long,100000,30598,0.101676,0.00,0.00,581.34,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,5,long,100000,30598,0.101886,0.00,0.00,575.41,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,5,long,100000,30598,0.101318,0.00,0.00,571.65,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,5,long,100000,30598,0.101669,0.00,0.00,573.97,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,5,long,100000,30598,0.102807,0.00,0.00,581.52,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,5,long,100000,30598,0.104199,0.00,0.00,590.75,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=100000 commits=30598 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,1,stress,200000,55739,0.200033,0.00,0.00,761.99,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,1,stress,200000,55739,0.198158,0.00,0.00,753.91,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,1,stress,200000,55739,0.197751,0.00,0.00,752.15,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,1,stress,200000,55739,0.200821,0.00,0.00,765.38,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,1,stress,200000,55739,0.200796,0.00,0.00,765.28,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,2,stress,200000,55739,0.201545,0.00,0.00,797.55,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,2,stress,200000,55739,0.196440,0.00,0.00,774.82,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,2,stress,200000,55739,0.196628,0.00,0.00,775.65,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,2,stress,200000,55739,0.194444,0.00,0.00,765.93,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,2,stress,200000,55739,0.200910,0.00,0.00,794.72,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,3,stress,200000,55739,0.212474,0.00,0.00,812.85,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,3,stress,200000,55739,0.198197,0.00,0.00,751.51,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,3,stress,200000,55739,0.206767,0.00,0.00,788.33,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,3,stress,200000,55739,0.200869,0.00,0.00,762.99,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,3,stress,200000,55739,0.202042,0.00,0.00,768.03,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,4,stress,200000,55739,0.203588,0.00,0.00,782.48,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,4,stress,200000,55739,0.204906,0.00,0.00,788.19,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,4,stress,200000,55739,0.203097,0.00,0.00,780.35,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,4,stress,200000,55739,0.195209,0.00,0.00,746.16,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,4,stress,200000,55739,0.195034,0.00,0.00,745.40,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=4 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
minimal,sensor_threshold_bug,no_failure_edge,5,stress,200000,55739,0.198575,0.00,0.00,783.81,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
core,sensor_threshold_bug,no_failure_edge,5,stress,200000,55739,0.210357,0.00,0.00,836.25,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
hashed,sensor_threshold_bug,no_failure_edge,5,stress,200000,55739,0.203038,0.00,0.00,803.68,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
diagnostic,sensor_threshold_bug,no_failure_edge,5,stress,200000,55739,0.195965,0.00,0.00,772.20,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
full,sensor_threshold_bug,no_failure_edge,5,stress,200000,55739,0.197906,0.00,0.00,780.83,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=no_failure_edge seed=5 property=0 events=256 capsule_bytes=5376 cycles=200000 commits=55739 notes=""measured"""
minimal,interrupt_race_bug,failing,1,smoke,60,15,0.006290,0.00,0.00,1.13,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=1 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
core,interrupt_race_bug,failing,1,smoke,60,15,0.006305,0.00,0.00,1.37,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=1 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
hashed,interrupt_race_bug,failing,1,smoke,60,15,0.006368,0.00,0.00,2.38,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=1 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
diagnostic,interrupt_race_bug,failing,1,smoke,60,15,0.006363,0.00,0.00,2.30,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=1 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
full,interrupt_race_bug,failing,1,smoke,60,15,0.006274,0.00,0.00,0.87,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=1 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
minimal,interrupt_race_bug,failing,2,smoke,60,15,0.006241,0.00,0.00,4.43,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=2 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
core,interrupt_race_bug,failing,2,smoke,60,15,0.006433,0.00,0.00,7.65,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=2 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
hashed,interrupt_race_bug,failing,2,smoke,60,15,0.006256,0.00,0.00,4.69,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=2 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
diagnostic,interrupt_race_bug,failing,2,smoke,60,15,0.006455,0.00,0.00,8.02,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=2 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
full,interrupt_race_bug,failing,2,smoke,60,15,0.006257,0.00,0.00,4.70,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=2 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
minimal,interrupt_race_bug,failing,3,smoke,60,15,0.006633,0.00,0.00,8.22,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=3 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
core,interrupt_race_bug,failing,3,smoke,60,15,0.006868,0.00,0.00,12.06,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=3 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
hashed,interrupt_race_bug,failing,3,smoke,60,15,0.006201,0.00,0.00,1.17,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=3 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
diagnostic,interrupt_race_bug,failing,3,smoke,60,15,0.006674,0.00,0.00,8.89,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=3 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
full,interrupt_race_bug,failing,3,smoke,60,15,0.006745,0.00,0.00,10.05,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=3 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
minimal,interrupt_race_bug,failing,4,smoke,60,15,0.006182,0.00,0.00,-1.18,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=4 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
core,interrupt_race_bug,failing,4,smoke,60,15,0.006077,0.00,0.00,-2.86,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=4 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
hashed,interrupt_race_bug,failing,4,smoke,60,15,0.006310,0.00,0.00,0.86,"PASS runtime config=recorder_enabled benchmark=interrupt_race_bug variant=failing seed=4 property=2 events=4 capsule_bytes=84 cycles=60 commits=15 notes=""measured"""
