architecture,recorder_config,benchmark,variant,seed,workload_scale,baseline,bytes,events,measured_or_estimated,replay_success,property_match,final_signature_match,event_match,reduction_vs_full_instruction_pct,reduction_vs_full_commit_pct,reduction_vs_snapshot_pct,diagnostic_context_available,notes
baseline,trace_or_snapshot,sensor_threshold_bug,failing,4,short,mmio_only_trace,408,34,estimated,NA,NA,NA,NA,85.59,92.80,90.04,false,ESTIMATED MMIO-only trace proxy
baseline,trace_or_snapshot,sensor_threshold_bug,failing,4,short,interrupt_only_trace,96,8,estimated,NA,NA,NA,NA,96.61,98.31,97.66,false,ESTIMATED interrupt-only trace proxy
baseline,trace_or_snapshot,sensor_threshold_bug,failing,4,short,interrupt_plus_mmio_trace,540,45,estimated,NA,NA,NA,NA,80.93,90.47,86.82,false,ESTIMATED interrupt+MMIO trace proxy
baseline,trace_or_snapshot,sensor_threshold_bug,failing,4,short,snapshot_at_failure,4096,1,estimated,NA,NA,NA,NA,-44.63,27.68,0.00,true,ESTIMATED fixed 4KiB state snapshot
v1,full,sensor_threshold_bug,failing,4,short,v1_replaycapsule_full,2856,136,measured,true,PASS,PASS,PASS,-0.85,49.58,30.27,true,MEASURED from workload_scaling capsule_bytes
v2,minimal,sensor_threshold_bug,failing,4,short,v2_minimal,152,17,estimated,NA,NA,NA,NA,94.63,97.32,96.29,false,ESTIMATED v2 compressed capsule size; no v2 replay PASS claimed
v2,core,sensor_threshold_bug,failing,4,short,v2_core,400,48,estimated,NA,NA,NA,NA,85.88,92.94,90.23,false,ESTIMATED v2 compressed capsule size; no v2 replay PASS claimed
v2,hashed,sensor_threshold_bug,failing,4,short,v2_hashed,400,48,estimated,NA,NA,NA,NA,85.88,92.94,90.23,false,ESTIMATED v2 compressed capsule size; no v2 replay PASS claimed
v2,diagnostic,sensor_threshold_bug,failing,4,short,v2_diagnostic,1084,89,estimated,NA,NA,NA,NA,61.72,80.86,73.54,true,ESTIMATED v2 compressed capsule size; no v2 replay PASS claimed
v2,full,sensor_threshold_bug,failing,4,short,v2_full,2192,136,estimated,NA,NA,NA,NA,22.60,61.30,46.48,true,ESTIMATED v2 compressed capsule size; no v2 replay PASS claimed
baseline,trace_or_snapshot,sensor_threshold_bug,failing,5,short,full_instruction_trace,2832,354,estimated,NA,NA,NA,NA,0.00,50.00,30.86,false,ESTIMATED formula=commits*(pc+instruction=8B)
