benchmark,variant,workload_scale,delay_iters,max_cycles,hex_path,elf_path,build_status,firmware_source,compiler,sha256_hex,notes
interrupt_race_bug,failing,short,64,10000,firmware/build_scaled/short/interrupt_race_bug/failing.hex,firmware/build_scaled/short/interrupt_race_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,4533ea1c9c2b281e627938defbf72dc060c2503387ebe26bdeb50a67515c18a2,compiler-backed scaled firmware; small deterministic pre-trigger delay
interrupt_race_bug,failing,medium,256,50000,firmware/build_scaled/medium/interrupt_race_bug/failing.hex,firmware/build_scaled/medium/interrupt_race_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,fe91a43a99de8783728d8d9a65ec1db94d403010930c7a903729835a1d30bfed,compiler-backed scaled firmware; medium deterministic pre-trigger delay
interrupt_race_bug,failing,long,1024,100000,firmware/build_scaled/long/interrupt_race_bug/failing.hex,firmware/build_scaled/long/interrupt_race_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,8f126f3f575008b5522e8476bd3eef82665e3bd519b6a0e38a804151b4899a70,compiler-backed scaled firmware; long deterministic pre-trigger delay
interrupt_race_bug,failing,stress,4096,200000,firmware/build_scaled/stress/interrupt_race_bug/failing.hex,firmware/build_scaled/stress/interrupt_race_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,365743912cc2a07534bd452f89a643a1662e1d7933b8bedb1fb25df44871afad,compiler-backed scaled firmware; stress deterministic pre-trigger delay
interrupt_race_bug,fixed,smoke,0,5000,firmware/build_scaled/smoke/interrupt_race_bug/fixed.hex,firmware/build_scaled/smoke/interrupt_race_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,018e63a7551d2a1cecaac51b19849863dab3689431d713ffe323af379d01cef9,compiler-backed scaled firmware; default firmware-length smoke stimulus
interrupt_race_bug,fixed,short,64,10000,firmware/build_scaled/short/interrupt_race_bug/fixed.hex,firmware/build_scaled/short/interrupt_race_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,3db877205dd571e770a9a6046e5bfa04824c603bd1ec1fa740667611ee935d55,compiler-backed scaled firmware; small deterministic pre-trigger delay
interrupt_race_bug,fixed,medium,256,50000,firmware/build_scaled/medium/interrupt_race_bug/fixed.hex,firmware/build_scaled/medium/interrupt_race_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,2bfc6c63532fd13ebf4fe312f94b21878a2d07525f68082c91225ace046b4b08,compiler-backed scaled firmware; medium deterministic pre-trigger delay
interrupt_race_bug,fixed,long,1024,100000,firmware/build_scaled/long/interrupt_race_bug/fixed.hex,firmware/build_scaled/long/interrupt_race_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,f2769d3bb88cadff609d418629d93e84c67a0d3eaec4e6b3a9d3c003f5ec6b0e,compiler-backed scaled firmware; long deterministic pre-trigger delay
interrupt_race_bug,fixed,stress,4096,200000,firmware/build_scaled/stress/interrupt_race_bug/fixed.hex,firmware/build_scaled/stress/interrupt_race_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,4c863d71b29e5e4a89f042385005b44523b832c288c4a38eebf1d09def41cc87,compiler-backed scaled firmware; stress deterministic pre-trigger delay
mmio_ordering_bug,failing,smoke,0,5000,firmware/build_scaled/smoke/mmio_ordering_bug/failing.hex,firmware/build_scaled/smoke/mmio_ordering_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,8110020458b88dc49e7afabcd9eb9b790aefc5d6a5d9873487ea4c638ae79d3a,compiler-backed scaled firmware; default firmware-length smoke stimulus
mmio_ordering_bug,failing,short,64,10000,firmware/build_scaled/short/mmio_ordering_bug/failing.hex,firmware/build_scaled/short/mmio_ordering_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,195ddf0e93a01cf29aaf131688db1695f6dec999db254d7db737ed16a63d8be3,compiler-backed scaled firmware; small deterministic pre-trigger delay
mmio_ordering_bug,failing,medium,256,50000,firmware/build_scaled/medium/mmio_ordering_bug/failing.hex,firmware/build_scaled/medium/mmio_ordering_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,4a7f6da3ddfb5c5c5e4a2f67b1e22f33da1ca62ed9f14a284e2e5a1610796d16,compiler-backed scaled firmware; medium deterministic pre-trigger delay
mmio_ordering_bug,failing,long,1024,100000,firmware/build_scaled/long/mmio_ordering_bug/failing.hex,firmware/build_scaled/long/mmio_ordering_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,8e670c9d575e2a2dd838a9b4ec11a48e0c39e59094e5a7df3f077d73f5c1823d,compiler-backed scaled firmware; long deterministic pre-trigger delay
mmio_ordering_bug,failing,stress,4096,200000,firmware/build_scaled/stress/mmio_ordering_bug/failing.hex,firmware/build_scaled/stress/mmio_ordering_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,a4beefd381802f220c718ff5677c300a5fbb4730af46bf8ef3f944d91bd739d5,compiler-backed scaled firmware; stress deterministic pre-trigger delay
mmio_ordering_bug,fixed,smoke,0,5000,firmware/build_scaled/smoke/mmio_ordering_bug/fixed.hex,firmware/build_scaled/smoke/mmio_ordering_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,88b2f64b02a0238d0b8ffe112a7730e753136fe9c76389f498d41a57e3b135e7,compiler-backed scaled firmware; default firmware-length smoke stimulus
mmio_ordering_bug,fixed,short,64,10000,firmware/build_scaled/short/mmio_ordering_bug/fixed.hex,firmware/build_scaled/short/mmio_ordering_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,e3674bd89f0334ffae3845da3db4644e9e7cbc65f8a703d45505288203d6aaee,compiler-backed scaled firmware; small deterministic pre-trigger delay
mmio_ordering_bug,fixed,medium,256,50000,firmware/build_scaled/medium/mmio_ordering_bug/fixed.hex,firmware/build_scaled/medium/mmio_ordering_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,999684c90e7d0cffb6a11bb3212b96dba079dcd5668775246837d57ea2d1f8f0,compiler-backed scaled firmware; medium deterministic pre-trigger delay
mmio_ordering_bug,fixed,long,1024,100000,firmware/build_scaled/long/mmio_ordering_bug/fixed.hex,firmware/build_scaled/long/mmio_ordering_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,eb8873fb4ac34294cc0f0d270c17444760115c525f310bb54d8d590eeefe8c62,compiler-backed scaled firmware; long deterministic pre-trigger delay
mmio_ordering_bug,fixed,stress,4096,200000,firmware/build_scaled/stress/mmio_ordering_bug/fixed.hex,firmware/build_scaled/stress/mmio_ordering_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,ebeb781b272bed7fd7c34af8b803f4f002dd0c1a639fd8d545a9fde3df7031fa,compiler-backed scaled firmware; stress deterministic pre-trigger delay
stack_corruption_bug,failing,smoke,0,5000,firmware/build_scaled/smoke/stack_corruption_bug/failing.hex,firmware/build_scaled/smoke/stack_corruption_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,40983e6a042993a0cd36d93d23eb2ee9c776b444963d69ca6c49f35e2ca2408e,compiler-backed scaled firmware; default firmware-length smoke stimulus
stack_corruption_bug,failing,short,64,10000,firmware/build_scaled/short/stack_corruption_bug/failing.hex,firmware/build_scaled/short/stack_corruption_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,3a383236e59f2e66683f9f8688c08505bd1aea98ca2523f31b1e318708397896,compiler-backed scaled firmware; small deterministic pre-trigger delay
stack_corruption_bug,failing,medium,256,50000,firmware/build_scaled/medium/stack_corruption_bug/failing.hex,firmware/build_scaled/medium/stack_corruption_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,4b8ca31c671f6d9085fc823c9c5e066f946da2eec654f61d1fb5f25b55e43cb8,compiler-backed scaled firmware; medium deterministic pre-trigger delay
stack_corruption_bug,failing,long,1024,100000,firmware/build_scaled/long/stack_corruption_bug/failing.hex,firmware/build_scaled/long/stack_corruption_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,257dee05bac2492c8b735cf9dd6830ff69e2c275e6ab77cbfc5ec6de9953c5bb,compiler-backed scaled firmware; long deterministic pre-trigger delay
stack_corruption_bug,failing,stress,4096,200000,firmware/build_scaled/stress/stack_corruption_bug/failing.hex,firmware/build_scaled/stress/stack_corruption_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,e426e5df69cc2e5d169811a6d51e7e20fb878ddf83a666ac8d09a51256aea595,compiler-backed scaled firmware; stress deterministic pre-trigger delay
stack_corruption_bug,fixed,smoke,0,5000,firmware/build_scaled/smoke/stack_corruption_bug/fixed.hex,firmware/build_scaled/smoke/stack_corruption_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,57f359e8f09438652d0a553b60fe9e8609063a1a98f3059d65bfc869411b50ac,compiler-backed scaled firmware; default firmware-length smoke stimulus
stack_corruption_bug,fixed,short,64,10000,firmware/build_scaled/short/stack_corruption_bug/fixed.hex,firmware/build_scaled/short/stack_corruption_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,1501fcb1eb461666f3eab77fd99f26dee7d540d64ee3ac4d550c0d269eb7ae81,compiler-backed scaled firmware; small deterministic pre-trigger delay
stack_corruption_bug,fixed,medium,256,50000,firmware/build_scaled/medium/stack_corruption_bug/fixed.hex,firmware/build_scaled/medium/stack_corruption_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,707ca27c507202cd27ab01692fe2cef7e9a506db558b763e73d1cceccafeb489,compiler-backed scaled firmware; medium deterministic pre-trigger delay
stack_corruption_bug,fixed,long,1024,100000,firmware/build_scaled/long/stack_corruption_bug/fixed.hex,firmware/build_scaled/long/stack_corruption_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,08c13912452d62df50d969c19646af40bfad62793ede116d8ba13c67a8fcfd1e,compiler-backed scaled firmware; long deterministic pre-trigger delay
stack_corruption_bug,fixed,stress,4096,200000,firmware/build_scaled/stress/stack_corruption_bug/fixed.hex,firmware/build_scaled/stress/stack_corruption_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,6ac88f71100a5d1ad5a7b882eab6d9975d182eaaca3af107df47dbda865c53b2,compiler-backed scaled firmware; stress deterministic pre-trigger delay
uart_command_bug,failing,smoke,0,5000,firmware/build_scaled/smoke/uart_command_bug/failing.hex,firmware/build_scaled/smoke/uart_command_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,1824d04462a3495f4df66d3956ae15c82c90456a862ad28b0506cd530db29126,compiler-backed scaled firmware; default firmware-length smoke stimulus
uart_command_bug,failing,short,64,10000,firmware/build_scaled/short/uart_command_bug/failing.hex,firmware/build_scaled/short/uart_command_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,a5cd3f8ebad72e97f20b0bd48eff56de96442c6df5538018d000391fabbcee6c,compiler-backed scaled firmware; small deterministic pre-trigger delay
uart_command_bug,failing,medium,256,50000,firmware/build_scaled/medium/uart_command_bug/failing.hex,firmware/build_scaled/medium/uart_command_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,00160435609272da6eecd8c37473e80fe769eaad508219c4473728c16fb1f77f,compiler-backed scaled firmware; medium deterministic pre-trigger delay
