target,flow,design,lut,ff,bram,dsp,cells,area_um2,fmax_mhz,wns,tns,power_mw,status,report_path,notes
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,2814,883,6,0,4482,NA,63.47,NA,NA,NA,PASS,results/raw/mapped_synthesis/full_core_baseline_board_nextpnr_ecp5_85k.txt,real mapped ecp5-85k board-level place-and-route completed; memory_words=2048; allowed top-level IO only
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,6859,3901,6,0,12702,NA,50.70,NA,NA,NA,PASS,results/raw/mapped_synthesis/full_core_replaycapsule_board_nextpnr_ecp5_85k.txt,real mapped ecp5-85k board-level place-and-route completed; memory_words=2048; allowed top-level IO only
ice40-hx8k,yosys+synth_ice40+nextpnr-ice40,replaycapsule_tiny_baseline,46,32,NA,0,NA,NA,157.48,NA,NA,NA,PASS,results/raw/mapped_synthesis/replaycapsule_tiny_baseline_nextpnr_ice40_hx8k.txt,real mapped ice40-hx8k place-and-route completed
ice40-hx8k,yosys+synth_ice40+nextpnr-ice40,replaycapsule_recorder_tiny,365,205,NA,0,NA,NA,63.93,NA,NA,NA,PASS,results/raw/mapped_synthesis/replaycapsule_recorder_tiny_nextpnr_ice40_hx8k.txt,real mapped ice40-hx8k place-and-route completed
