benchmark,variant,seed,rtl_record_status,capsule_export_status,replay_status,property_id_record,property_id_replay,commit_match,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,firmware_source,firmware_sha256,compiler_backed,notes
mmio_ordering_bug,failing,1,PASS,PASS,PASS,5,5,PASS,PASS,PASS,63,46,12,compiler_c,ae8c3d3e06fb697b3b6c68a581491d5690824f41a0965101139650aacfb06360,true,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=1 property=5 events=3 cycles=46 commits=12 notes=""record/replay capsule packets match"""
mmio_ordering_bug,failing,2,PASS,PASS,PASS,5,5,PASS,PASS,PASS,63,46,12,compiler_c,ae8c3d3e06fb697b3b6c68a581491d5690824f41a0965101139650aacfb06360,true,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=2 property=5 events=3 cycles=46 commits=12 notes=""record/replay capsule packets match"""
mmio_ordering_bug,failing,3,PASS,PASS,PASS,5,5,PASS,PASS,PASS,63,46,12,compiler_c,ae8c3d3e06fb697b3b6c68a581491d5690824f41a0965101139650aacfb06360,true,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=3 property=5 events=3 cycles=46 commits=12 notes=""record/replay capsule packets match"""
mmio_ordering_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33329,compiler_c,276e2fdfcd1f1cefa15ceda81b3d663e995cfd60b59b07ff3756576869cbb252,true,"PASS replay benchmark=mmio_ordering_bug variant=fixed seed=1 property=0 events=256 cycles=100000 commits=33329 notes=""record/replay capsule packets match"""
mmio_ordering_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33329,compiler_c,276e2fdfcd1f1cefa15ceda81b3d663e995cfd60b59b07ff3756576869cbb252,true,"PASS replay benchmark=mmio_ordering_bug variant=fixed seed=2 property=0 events=256 cycles=100000 commits=33329 notes=""record/replay capsule packets match"""
mmio_ordering_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33329,compiler_c,276e2fdfcd1f1cefa15ceda81b3d663e995cfd60b59b07ff3756576869cbb252,true,"PASS replay benchmark=mmio_ordering_bug variant=fixed seed=3 property=0 events=256 cycles=100000 commits=33329 notes=""record/replay capsule packets match"""
stack_corruption_bug,failing,1,PASS,PASS,PASS,4,4,PASS,PASS,PASS,63,49,13,compiler_c,484699c5b44f311bfce79741610324cc1573edacc14fdad995692fbc80178b1e,true,"PASS replay benchmark=stack_corruption_bug variant=failing seed=1 property=4 events=3 cycles=49 commits=13 notes=""record/replay capsule packets match"""
stack_corruption_bug,failing,2,PASS,PASS,PASS,4,4,PASS,PASS,PASS,63,49,13,compiler_c,484699c5b44f311bfce79741610324cc1573edacc14fdad995692fbc80178b1e,true,"PASS replay benchmark=stack_corruption_bug variant=failing seed=2 property=4 events=3 cycles=49 commits=13 notes=""record/replay capsule packets match"""
stack_corruption_bug,failing,3,PASS,PASS,PASS,4,4,PASS,PASS,PASS,63,49,13,compiler_c,484699c5b44f311bfce79741610324cc1573edacc14fdad995692fbc80178b1e,true,"PASS replay benchmark=stack_corruption_bug variant=failing seed=3 property=4 events=3 cycles=49 commits=13 notes=""record/replay capsule packets match"""
stack_corruption_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,compiler_c,f876fb009bc636d3a6bd055a4be7f5765d54e3ce1b355409e3d6555c8a05828a,true,"PASS replay benchmark=stack_corruption_bug variant=fixed seed=1 property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
stack_corruption_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,compiler_c,f876fb009bc636d3a6bd055a4be7f5765d54e3ce1b355409e3d6555c8a05828a,true,"PASS replay benchmark=stack_corruption_bug variant=fixed seed=2 property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
stack_corruption_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,compiler_c,f876fb009bc636d3a6bd055a4be7f5765d54e3ce1b355409e3d6555c8a05828a,true,"PASS replay benchmark=stack_corruption_bug variant=fixed seed=3 property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
uart_command_bug,failing,1,PASS,PASS,PASS,1,1,PASS,PASS,PASS,84,51,13,compiler_c,5a6043c9741b50ce0b0909d7f1cf80f8e0f3e5d2f851736939949766274d4e44,true,"PASS replay benchmark=uart_command_bug variant=failing seed=1 property=1 events=4 cycles=51 commits=13 notes=""record/replay capsule packets match"""
uart_command_bug,failing,2,PASS,PASS,PASS,1,1,PASS,PASS,PASS,84,51,13,compiler_c,5a6043c9741b50ce0b0909d7f1cf80f8e0f3e5d2f851736939949766274d4e44,true,"PASS replay benchmark=uart_command_bug variant=failing seed=2 property=1 events=4 cycles=51 commits=13 notes=""record/replay capsule packets match"""
uart_command_bug,failing,3,PASS,PASS,PASS,1,1,PASS,PASS,PASS,84,51,13,compiler_c,5a6043c9741b50ce0b0909d7f1cf80f8e0f3e5d2f851736939949766274d4e44,true,"PASS replay benchmark=uart_command_bug variant=failing seed=3 property=1 events=4 cycles=51 commits=13 notes=""record/replay capsule packets match"""
uart_command_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33329,compiler_c,a367890d1b89b9fc421d415e9874f8cecd59d6efaf1b238a0cd060939910eb7e,true,"PASS replay benchmark=uart_command_bug variant=fixed seed=1 property=0 events=256 cycles=100000 commits=33329 notes=""record/replay capsule packets match"""
uart_command_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33329,compiler_c,a367890d1b89b9fc421d415e9874f8cecd59d6efaf1b238a0cd060939910eb7e,true,"PASS replay benchmark=uart_command_bug variant=fixed seed=2 property=0 events=256 cycles=100000 commits=33329 notes=""record/replay capsule packets match"""
uart_command_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33329,compiler_c,a367890d1b89b9fc421d415e9874f8cecd59d6efaf1b238a0cd060939910eb7e,true,"PASS replay benchmark=uart_command_bug variant=fixed seed=3 property=0 events=256 cycles=100000 commits=33329 notes=""record/replay capsule packets match"""
uart_command_bug,no_failure_edge,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33329,compiler_c,5a6043c9741b50ce0b0909d7f1cf80f8e0f3e5d2f851736939949766274d4e44,true,"PASS replay benchmark=uart_command_bug variant=no_failure_edge seed=1 property=0 events=256 cycles=100000 commits=33329 notes=""record/replay capsule packets match"""
