architecture,recorder_config,target,flow,design,top,memory_words,buffer_depth,clock_period_ns,area_um2,cell_area_um2,die_area_um2,wns_ns,tns_ns,power_mw,status,report_path,notes
baseline,baseline,nangate45,yosys+openroad-openpdk,full_core_baseline_board,full_core_baseline_board_top,128,NA,20.000,NA,NA,NA,NA,NA,NA,FAIL,results/raw/asic_openpdk/full_core_baseline_board_openroad_physical.txt,OpenROAD timeout after 300s; see partial log
v2,minimal,nangate45,yosys+openroad-openpdk,full_core_v2_minimal_board,full_core_replaycapsule_v2_board_top,128,8,20.000,NA,NA,NA,NA,NA,NA,FAIL,results/raw/asic_openpdk/full_core_v2_minimal_board_openroad_physical.txt,OpenROAD timeout after 300s; see partial log
v2,core,nangate45,yosys+openroad-openpdk,full_core_v2_core_board,full_core_replaycapsule_v2_board_top,128,8,20.000,NA,NA,NA,NA,NA,NA,FAIL,results/raw/asic_openpdk/full_core_v2_core_board_openroad_physical.txt,OpenROAD timeout after 300s; see partial log
v2,hashed,nangate45,yosys+openroad-openpdk,full_core_v2_hashed_board,full_core_replaycapsule_v2_board_top,128,8,20.000,NA,NA,NA,NA,NA,NA,FAIL,results/raw/asic_openpdk/full_core_v2_hashed_board_openroad_physical.txt,OpenROAD timeout after 300s; see partial log
v2,full,nangate45,yosys+openroad-openpdk,full_core_v2_full_board,full_core_replaycapsule_v2_board_top,128,8,20.000,NA,NA,NA,NA,NA,NA,FAIL,results/raw/asic_openpdk/full_core_v2_full_board_openroad_physical.txt,OpenROAD timeout after 300s; see partial log
