recorder_config,target,flow,metric,baseline,with_replaycapsule,delta,percent_overhead,status,notes
minimal,nangate45,yosys+openroad-openpdk,area_um2,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
minimal,nangate45,yosys+openroad-openpdk,wns_ns,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
minimal,nangate45,yosys+openroad-openpdk,power_mw,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
core,nangate45,yosys+openroad-openpdk,area_um2,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
core,nangate45,yosys+openroad-openpdk,wns_ns,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
core,nangate45,yosys+openroad-openpdk,power_mw,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
hashed,nangate45,yosys+openroad-openpdk,area_um2,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
hashed,nangate45,yosys+openroad-openpdk,wns_ns,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
hashed,nangate45,yosys+openroad-openpdk,power_mw,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
full,nangate45,yosys+openroad-openpdk,area_um2,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
full,nangate45,yosys+openroad-openpdk,wns_ns,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
full,nangate45,yosys+openroad-openpdk,power_mw,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
