benchmark,variant,seed,rtl_record_status,capsule_export_status,replay_status,property_id_record,property_id_replay,commit_match,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,firmware_source,firmware_sha256,compiler_backed,notes
mmio_ordering_bug,failing,1,PASS,PASS,PASS,5,5,PASS,PASS,PASS,21,14,2,fallback_hex,bec8fc970125d250e88b4bceb09ee9b91474fcf48fe9c19ffe05cd3963da2171,false,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=1 property=5 events=1 cycles=14 commits=2 notes=""record/replay capsule packets match"""
mmio_ordering_bug,failing,2,PASS,PASS,PASS,5,5,PASS,PASS,PASS,21,14,2,fallback_hex,bec8fc970125d250e88b4bceb09ee9b91474fcf48fe9c19ffe05cd3963da2171,false,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=2 property=5 events=1 cycles=14 commits=2 notes=""record/replay capsule packets match"""
mmio_ordering_bug,failing,3,PASS,PASS,PASS,5,5,PASS,PASS,PASS,21,14,2,fallback_hex,bec8fc970125d250e88b4bceb09ee9b91474fcf48fe9c19ffe05cd3963da2171,false,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=3 property=5 events=1 cycles=14 commits=2 notes=""record/replay capsule packets match"""
mmio_ordering_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,42,100000,6,fallback_hex,054baa55b3e6801b612a06949a31865381c509a8dca8361c2bf9783332cdcac1,false,"PASS replay benchmark=mmio_ordering_bug variant=fixed seed=1 property=0 events=2 cycles=100000 commits=6 notes=""record/replay capsule packets match"""
mmio_ordering_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,42,100000,6,fallback_hex,054baa55b3e6801b612a06949a31865381c509a8dca8361c2bf9783332cdcac1,false,"PASS replay benchmark=mmio_ordering_bug variant=fixed seed=2 property=0 events=2 cycles=100000 commits=6 notes=""record/replay capsule packets match"""
mmio_ordering_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,42,100000,6,fallback_hex,054baa55b3e6801b612a06949a31865381c509a8dca8361c2bf9783332cdcac1,false,"PASS replay benchmark=mmio_ordering_bug variant=fixed seed=3 property=0 events=2 cycles=100000 commits=6 notes=""record/replay capsule packets match"""
stack_corruption_bug,failing,1,PASS,PASS,PASS,4,4,PASS,PASS,PASS,21,23,5,fallback_hex,00e483faf4249d7bbbaa45eadac8107869afd09f8e4047cf7d09147dfbcdb601,false,"PASS replay benchmark=stack_corruption_bug variant=failing seed=1 property=4 events=1 cycles=23 commits=5 notes=""record/replay capsule packets match"""
stack_corruption_bug,failing,2,PASS,PASS,PASS,4,4,PASS,PASS,PASS,21,23,5,fallback_hex,00e483faf4249d7bbbaa45eadac8107869afd09f8e4047cf7d09147dfbcdb601,false,"PASS replay benchmark=stack_corruption_bug variant=failing seed=2 property=4 events=1 cycles=23 commits=5 notes=""record/replay capsule packets match"""
stack_corruption_bug,failing,3,PASS,PASS,PASS,4,4,PASS,PASS,PASS,21,23,5,fallback_hex,00e483faf4249d7bbbaa45eadac8107869afd09f8e4047cf7d09147dfbcdb601,false,"PASS replay benchmark=stack_corruption_bug variant=failing seed=3 property=4 events=1 cycles=23 commits=5 notes=""record/replay capsule packets match"""
stack_corruption_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,21,100000,6,fallback_hex,b5790adf0b378e5c11a6c0bd9a137bfe224354677fe92eac2c83ce8bb6c3bbd8,false,"PASS replay benchmark=stack_corruption_bug variant=fixed seed=1 property=0 events=1 cycles=100000 commits=6 notes=""record/replay capsule packets match"""
