architecture,recorder_config,target,flow,design,top,memory_words,buffer_depth,clock_period_ns,area_um2,cell_area_um2,die_area_um2,wns_ns,tns_ns,power_mw,status,report_path,notes
baseline,baseline,nangate45,yosys+openroad-openpdk-global-routed,full_core_baseline_board,full_core_baseline_board_top,128,NA,20.000,53453.000,53453.000,119011.200,0.000,0.000,5.990000,PASS,results/raw/asic_openpdk/full_core_baseline_board_openroad_physical.txt,OpenROAD placed/global-routed Nangate45 physical-flow row with parsed area/timing/power
v2,minimal,nangate45,yosys+openroad-openpdk-global-routed,full_core_v2_minimal_board,full_core_replaycapsule_v2_board_top,128,8,20.000,54374.000,54374.000,120863.999,0.000,0.000,6.590000,PASS,results/raw/asic_openpdk/full_core_v2_minimal_board_openroad_physical.txt,OpenROAD placed/global-routed Nangate45 physical-flow row with parsed area/timing/power
v2,core,nangate45,yosys+openroad-openpdk-global-routed,full_core_v2_core_board,full_core_replaycapsule_v2_board_top,128,8,20.000,63848.000,63848.000,139760.084,0.000,0.000,7.740000,PASS,results/raw/asic_openpdk/full_core_v2_core_board_openroad_physical.txt,OpenROAD placed/global-routed Nangate45 physical-flow row with parsed area/timing/power
v2,hashed,nangate45,yosys+openroad-openpdk-global-routed,full_core_v2_hashed_board,full_core_replaycapsule_v2_board_top,128,8,20.000,64299.000,64299.000,140677.505,0.000,0.000,8.570000,PASS,results/raw/asic_openpdk/full_core_v2_hashed_board_openroad_physical.txt,OpenROAD placed/global-routed Nangate45 physical-flow row with parsed area/timing/power
v2,full,nangate45,yosys+openroad-openpdk-global-routed,full_core_v2_full_board,full_core_replaycapsule_v2_board_top,128,8,20.000,65693.000,65693.000,141353.441,0.000,0.000,8.290000,PASS,results/raw/asic_openpdk/full_core_v2_full_board_openroad_physical.txt,OpenROAD placed/global-routed Nangate45 physical-flow row with parsed area/timing/power
